SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
504212	UNIV.CABLE  	B 	Q	27	27	27	27	27	27	1	2060	55620	
504240	DELTON CABLE	B 	Q	41	41	40.15	40.15	40.15	41	4	325	13240	
504258	LAKSHMI ELEC	B 	Q	154.4	154.4	154.4	154.4	154.4	147.05	17	902	139268	
504269	KHAITAN ELEC	B 	Q	57.05	57.05	57.05	57.05	57.05	60	1	5	285	
504335	RUTRON INT. 	T 	Q	19.2	19.2	18.9	19	19	19	103	1110751	21104288	
504336	INDTRADECO  	T 	Q	0.16	0.17	0.16	0.17	0.17	0.17	20	5123	820	
504340	CONFIDENCE  	T 	Q	21.65	22.65	20.6	20.6	20.6	21.65	220	240336	5436152	
504351	EMPOWER     	T 	Q	0.27	0.27	0.25	0.25	0.26	0.26	661	1931745	490052	
504358	TURBO TECH  	B 	Q	65.55	65.55	65.55	65.55	65.55	66.85	3	30	1966	
504369	GRANDMA TRAD	T 	Q	281.5	281.5	279.8	279.9	279.8	282.5	16	3525	990505	
504378	RAVINAY TRAD	B 	Q	143.15	147.95	143.15	147.1	146.95	146.6	481	114668	16888074	
504605	UNI ABEX    	B 	Q	165.3	170.45	159.05	170.45	170.45	165.35	16	587	98691	
504614	SARDA ENMIN 	B 	Q	107.9	108	105.3	107.2	105.3	105.15	151	1241	132937	
504629	ANIL SP STEL	B 	Q	6.3	6.3	6.3	6.3	6.3	6	4	375	2362	
504646	BHAGWATI AUT	B 	Q	41	41	39.8	39.8	39.8	41	5	1300	53180	
504673	UNIV.PRIME  	T 	Q	0.81	0.85	0.81	0.85	0.85	0.81	2	11	9	
504697	GALADA TELE.	T 	Q	4.83	4.83	4.83	4.83	4.83	4.6	2	1000	4830	
504701	GONTER PEIP 	B 	Q	6.27	6.27	6.27	6.27	6.27	5.99	1	11	68	
504741	IND.HUME PIP	B 	Q	129	134.9	125	131.2	131.2	125.9	644	4806	630033	
504823	MAHIND.UGINE	B 	Q	119.3	124.95	118.35	119.1	119.1	118.15	1797	75753	9184483	
504879	ORIENT ABRAS	B 	Q	18	18.8	18	18.75	18.8	18.15	27	2495	46377	
504903	RATHI ST    	B 	Q	3.3	3.3	3.3	3.3	3.3	3.15	4	1361	4491	
504908	S.S.DUNCAN  	B 	Q	50.4	50.4	50.4	50.4	50.4	48	3	44	2217	
504918	SANDUR MANG.	B 	Q	625	633	606	621.45	621.45	619.85	474	3780	2355135	
504959	STOVAC IND. 	B 	Q	404	410	404	410	410	402	7	190	77373	
504961	TATA YODOGAW	B 	Q	46.3	50.2	46.3	50.2	50.2	48.5	12	302	15108	
504966	TINPLATE    	T 	Q	48.25	49.4	47.75	47.9	48	47.85	250	34165	1657167	
504973	TUBE INV.   	B 	Q	157	158.05	156	157.7	157.25	156.2	747	4250	667336	
505010	AUTO AXLES  	B 	Q	236	253.8	236	249.6	245.15	238.1	103	486	119907	
505029	ATLAS CYCLES	B 	Q	265	268.8	261.35	263.6	263.6	261.3	1423	22814	6050819	
